fk_periodo;fk_pais;fk_indicador;valor
16;64;1;66983634224
1;65;1;961900107
2;65;1;1027702254
3;65;1;1054113427
4;65;1;1279704745
5;65;1;1561763437
6;65;1;1450140386
7;65;1;1543292393
8;65;1;1409694554
9;65;1;1415006238
10;65;1;1375608956
11;65;1;1229460602
12;65;1;1354788659
13;65;1;1470006034
14;65;1;1498044491
15;65;1;1624600882
16;65;1;1763819048
1;66;1;3666349049
2;66;1;2937071767
3;66;1;4220019243
4;66;1;6281917656
5;66;1;6964179194
6;66;1;6716904569
7;66;1;6853467858
8;66;1;6785137173
9;66;1;7638045254
10;66;1;8376613843
11;66;1;8778473615
12;66;1;8794202444
13;66;1;8603884845
14;66;1;10336634799
15;66;1;12207116729
16;66;1;13590281809
1;67;1;4410764339
2;67;1;8217369093
3;67;1;10086528699
4;67;1;13071718759
5;67;1;19749893536
6;67;1;15027795173
7;67;1;16314442183
8;67;1;21357344847
9;67;1;22388345810
10;67;1;21948835350
11;67;1;21765454404
12;67;1;13185496836
13;67;1;11240809132
14;67;1;12200914930
15;67;1;13278488567
16;67;1;11026774945
1;68;1;240521260988
2;68;1;247783001865
3;68;1;273317737047
4;68;1;318497936901
5;68;1;354460802549
6;68;1;330000252153
7;68;1;299361576558
8;68;1;287797822093
9;68;1;245670666639
10;68;1;239862011450
11;68;1;237029579261
12;68;1;196591353761
13;68;1;195222443513
14;68;1;203588424288
15;68;1;218138367445
16;68;1;209852761469
1;69;1;23965275794
2;69;1;27211377107
3;69;1;30231249625
4;69;1;34113107372
5;69;1;39136436614
6;69;1;37733609795
7;69;1;41338008613
8;69;1;47654783852
9;69;1;50388460925
10;69;1;52996540576
11;69;1;57852399834
12;69;1;62186186576
13;69;1;66053725049
14;69;1;71612352781
15;69;1;73118147808
16;69;1;76710385880
1;70;1;531109356
2;70;1;586795675
3;70;1;591839471
4;70;1;695990208
5;70;1;864654795
6;70;1;826798660
7;70;1;849050128
8;70;1;1098379392
9;70;1;989327812
10;70;1;1045790133
11;70;1;1053512334
12;70;1;1047808175
13;70;1;1178204501
14;70;1;1346841897
15;70;1;1458156026
16;70;1;1340389411
1;71;1;787814379
2;71;1;824880550
3;71;1;1458453715
4;71;1;1740180444
5;71;1;1916994912
